Open,High,Low,Close,Volume,Ticker
11.787,12.036,11.787,11.99,176644,spyg
12.027,12.094,11.932,12.038,133676,spyg
12.002,12.034,11.948,11.964,122992,spyg
12.261,12.261,11.845,11.85,103816,spyg
11.863,11.917,11.762,11.762,53028,spyg
11.746,11.86,11.746,11.85,147500,spyg
12.168,12.195,11.939,12.195,285616,spyg
12.242,12.292,12.164,12.22,265572,spyg
12.132,12.261,12.132,12.244000000000002,95516,spyg
12.262,12.382,12.208,12.343,190268,spyg
12.255999999999998,12.406,12.249,12.278,194276,spyg
12.229,12.302,12.191,12.302,1167444,spyg
12.261,12.267,12.121,12.159,174216,spyg
12.2,12.316,12.186,12.276,38756,spyg
12.204,12.204,12.032,12.058,65488,spyg
12.022,12.09,12.015999999999998,12.034,503760,spyg
12.081,12.094,11.970999999999998,12.067,135600,spyg
12.182,12.34,12.17,12.334,206088,spyg
12.3,12.386,12.251,12.386,138208,spyg
12.518,12.619000000000002,12.478,12.568,40300,spyg
12.55,12.644,12.53,12.642,127144,spyg
12.546,12.546,12.408,12.470999999999998,150060,spyg
12.55,12.588,12.458,12.558,618728,spyg
12.572,12.626,12.422,12.572,46360,spyg
12.61,12.642,12.470999999999998,12.642,34720,spyg
12.662,12.671,12.608,12.608,52912,spyg
12.568,12.595,12.518,12.565,76300,spyg
12.608,12.656,12.496,12.514,505908,spyg
12.5,12.747,12.491,12.747,145260,spyg
12.819,12.826,12.691,12.736,91148,spyg
12.707,12.79,12.619000000000002,12.752,172452,spyg
12.671,12.888,12.671,12.888,45988,spyg
12.907,12.909,12.662,12.73,34476,spyg
12.7,12.763,12.696,12.76,42168,spyg
12.686,12.716,12.662,12.716,41196,spyg
12.657,12.828,12.657,12.819,46284,spyg
12.83,12.868,12.76,12.868,36380,spyg
12.877,13.003,12.87,12.877,33652,spyg
12.911,13.025,12.904000000000002,13.025,38988,spyg
13.088,13.088,12.978,13.068,96744,spyg
13.116,13.198,13.062,13.095,47772,spyg
12.994000000000002,13.034,12.931,12.99,51400,spyg
13.023,13.023,12.772,12.772,147504,spyg
12.806,12.83,12.768,12.788,147232,spyg
12.728,12.772,12.61,12.666,731740,spyg
12.66,12.779000000000002,12.656,12.776,82140,spyg
12.66,12.779000000000002,12.656,12.776,82140,spyg
12.803,12.877,12.75,12.848,1057372,spyg
12.872,12.958,12.864,12.92,59372,spyg
12.963,13.03,12.958,13.008,220140,spyg
12.963,12.970999999999998,12.821,12.898,602624,spyg
12.904000000000002,12.998,12.772,12.864,232344,spyg
12.877,12.99,12.842,12.898,72784,spyg
12.936,13.165,12.936,13.165,94796,spyg
13.074000000000002,13.097,12.819,12.819,142884,spyg
12.862,12.864,12.702,12.799,128988,spyg
12.728,12.844,12.723,12.755999999999998,118496,spyg
12.738,12.738,12.568,12.581,127628,spyg
12.646,12.688,12.586,12.61,34592,spyg
12.688,12.81,12.671,12.800999999999998,65904,spyg
12.698,12.858,12.698,12.832,51472,spyg
12.896,12.896,12.812,12.823,145072,spyg
12.74,12.774,12.64,12.696,106456,spyg
12.668,12.783,12.651,12.742,68868,spyg
12.662,12.662,12.436,12.491,78344,spyg
12.55,12.55,12.465,12.476,49396,spyg
12.428,12.498,12.386,12.395,72728,spyg
12.491,12.59,12.469,12.478,41892,spyg
12.33,12.338,12.155,12.155,90224,spyg
12.152,12.2,12.049,12.139,141444,spyg
12.119000000000002,12.22,12.112,12.152,86796,spyg
11.986,12.146,11.932,12.144,138920,spyg
12.184,12.222,11.87,11.87,96276,spyg
11.973,11.973,11.771,11.852,69280,spyg
11.923,11.973,11.648,11.769,354232,spyg
11.923,11.973,11.648,11.769,354232,spyg
11.778,11.880999999999998,11.63,11.87,279472,spyg
11.948,11.948,11.672,11.672,170912,spyg
11.697,11.778,11.587,11.728,212352,spyg
11.625,11.782,11.524,11.688,110920,spyg
11.556,11.794,11.556,11.678,119916,spyg
11.331,11.678,11.174,11.542,345976,spyg
11.529000000000002,11.728,11.497,11.728,62388,spyg
11.58,11.829,11.58,11.813,220080,spyg
12.128,12.128,11.708,11.807,79452,spyg
11.825,11.825,11.737,11.794,131908,spyg
11.737,11.867,11.71,11.867,83276,spyg
11.973,11.973,11.852,11.863,381572,spyg
11.915,11.915,11.632,11.648,135428,spyg
11.699000000000002,11.755,11.69,11.755,63388,spyg
11.739,11.739,11.562,11.567,412052,spyg
11.648,11.769,11.648,11.769,122728,spyg
11.858,11.939,11.791,11.928,150212,spyg
11.852,11.970999999999998,11.813,11.813,66564,spyg
11.93,11.93,11.661,11.724,936856,spyg
11.683,11.758,11.548,11.585,99132,spyg
11.646,11.794,11.646,11.785,48880,spyg
11.858,12.005999999999998,11.829,11.978,53976,spyg
11.854,11.93,11.796,11.796,32040,spyg
11.762,12.058,11.762,12.058,37116,spyg
12.0,12.182,12.0,12.106,113328,spyg
12.074000000000002,12.144,12.06,12.06,56376,spyg
12.074000000000002,12.162,11.978,12.134,534396,spyg
12.02,12.197,12.02,12.197,124404,spyg
12.489,12.489,12.17,12.202,77652,spyg
12.208,12.208,12.03,12.032,80744,spyg
12.009,12.015999999999998,11.937,11.939,60176,spyg
11.995,12.058,11.98,12.032,31288,spyg
11.99,12.092,11.982,12.07,104052,spyg
12.116,12.18,12.114,12.164,84168,spyg
12.126,12.132,11.941,11.962,288868,spyg
11.948,12.032,11.939,11.986,109844,spyg
12.018,12.112,12.002,12.065,54304,spyg
12.146,12.213,12.139,12.192,45124,spyg
12.155,12.155,12.04,12.04,48544,spyg
12.233,12.233,11.880999999999998,11.921,867604,spyg
12.233,12.233,11.880999999999998,11.921,867604,spyg
11.874,11.915,11.764,11.825,138412,spyg
11.764,11.764,11.441,11.441,145396,spyg
11.403,11.53,11.3,11.518,60284,spyg
12.050999999999998,12.050999999999998,11.518,11.604,35852,spyg
11.798,11.798,11.273,11.273,134096,spyg
11.342,11.452,11.273,11.353,151472,spyg
11.278,11.529000000000002,11.220999999999998,11.529000000000002,68068,spyg
11.472,11.62,11.452,11.602,83588,spyg
10.997,11.466,10.997,11.183,243088,spyg
10.947,11.268,10.896,11.268,190684,spyg
11.158,11.220999999999998,10.826,10.826,160720,spyg
10.914,11.14,10.267,11.12,460640,spyg
11.939,11.939,11.185,11.459,278452,spyg
11.353,11.423,11.165,11.165,172296,spyg
11.201,11.21,10.947,10.952,353368,spyg
10.952,11.091,10.932,10.992,231916,spyg
10.729,11.212,10.729,11.114,88040,spyg
10.817,11.47,10.669,11.19,435348,spyg
10.954,10.954,10.16,10.41,382460,spyg
10.912,10.912,10.308,10.634,138516,spyg
10.49,10.62,10.373,10.470999999999998,1313464,spyg
10.345,10.395,10.002,10.02,264816,spyg
10.048,10.342,9.87,9.89,358476,spyg
9.617,9.617,8.9748,9.502,388884,spyg
9.538,9.581,8.981,9.0105,191800,spyg
8.7365,9.2172,8.6472,8.9142,267592,spyg
8.9455,9.1408,8.3258,8.454,378288,spyg
7.8685,8.4922,7.7588,8.2162,351228,spyg
8.2882,9.504,8.2882,9.1942,451048,spyg
9.738,9.836,8.812999999999997,9.0018,181632,spyg
8.5998,8.8398,8.0792,8.0792,231512,spyg
8.0792,8.4628,7.8885,8.4628,224688,spyg
8.318999999999999,8.885,8.318999999999999,8.5325,363532,spyg
8.5525,8.8492,8.3398,8.8492,71952,spyg
8.6968,8.9118,8.629,8.629,187932,spyg
